"Date","Open","High","Low","Close","AdjClose","Volume"
"2021-02-24","9777.1103515625","9830.150390625","9511.908203125","9547.2685546875","9122.0537109375","60064329"
"2021-02-25","9653.349609375","9706.3896484375","9494.228515625","9653.349609375","9223.41015625","54447004"
"2021-02-26","9476.5478515625","9830.150390625","9441.1875","9777.1103515625","9341.6591796875","68310084"
"2021-03-01","9918.55078125","10059.9921875","9865.5107421875","10024.6318359375","9578.15625","62401701"
"2021-03-02","10130.712890625","10148.392578125","9900.87109375","9936.2314453125","9493.6923828125","42230125"
"2021-03-03","9900.87109375","10042.3125","9865.5107421875","9900.87109375","9459.9072265625","50816659"
"2021-03-04","9900.87109375","9971.591796875","9511.908203125","9600.30859375","9172.7314453125","73961572"
"2021-03-05","9582.62890625","9724.0693359375","9476.5478515625","9671.029296875","9240.302734375","55643602"
"2021-03-08","9794.7900390625","9847.8310546875","9635.6689453125","9759.4296875","9324.765625","41881767"
"2021-03-09","9617.9892578125","9741.75","9547.2685546875","9653.349609375","9223.41015625","35360039"
"2021-03-10","9688.7099609375","9936.2314453125","9582.62890625","9883.19140625","9443.0146484375","73020119"
"2021-03-11","9989.271484375","10077.671875","9936.2314453125","9989.271484375","9544.37109375","48164810"
"2021-03-12","10042.3125","10059.9921875","9953.9111328125","9989.271484375","9544.37109375","47688004"
"2021-03-15","10042.3125","10219.11328125","9971.591796875","10219.11328125","9763.9755859375","69494409"
"2021-03-16","10289.833984375","10307.513671875","10024.6318359375","10130.712890625","9679.51171875","36255110"
"2021-03-17","10130.712890625","10254.4736328125","10130.712890625","10254.4736328125","9797.7607421875","40115944"
"2021-03-18","10360.5546875","10378.234375","10254.4736328125","10325.1943359375","9865.33203125","39180995"
"2021-03-19","10254.4736328125","10378.234375","10254.4736328125","10325.1943359375","9865.33203125","28240746"
"2021-03-22","10325.1943359375","10342.8740234375","10077.671875","10130.712890625","9679.51171875","45726197"
"2021-03-23","10130.712890625","10148.392578125","9989.271484375","10024.6318359375","9578.15625","45037287"
"2021-03-24","9900.87109375","9953.9111328125","9688.7099609375","9759.4296875","9324.765625","46171613"
"2021-03-25","9794.7900390625","9900.87109375","9724.0693359375","9741.75","9307.8740234375","37329482"
"2021-03-26","9653.349609375","9812.470703125","9458.8681640625","9724.0693359375","9290.98046875","41037882"
"2021-03-29","9777.1103515625","10006.9521484375","9724.0693359375","9989.271484375","9544.37109375","48225048"
"2021-03-30","9989.271484375","10148.392578125","9883.19140625","10006.9521484375","9561.263671875","37595599"
"2021-03-31","10024.6318359375","10095.3525390625","9936.2314453125","9953.9111328125","9510.5849609375","29792488"
"2021-04-01","9989.271484375","10325.1943359375","9971.591796875","10325.1943359375","9865.33203125","56108758"
"2021-04-02","10466.634765625","10501.9951171875","10342.8740234375","10466.634765625","10000.47265625","50594658"
"2021-04-05","10696.4765625","10749.517578125","10537.35546875","10749.517578125","10270.7568359375","75190352"
"2021-04-06","10855.59765625","11120.7998046875","10784.876953125","11103.1201171875","10608.6103515625","95107914"
"2021-04-07","11138.4794921875","11332.9609375","11120.7998046875","11244.560546875","10743.751953125","66980287"
"2021-04-08","11244.560546875","11244.560546875","10961.6787109375","11032.3994140625","10541.0390625","63705676"
